Profile,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
165,228.78205401776103,236.33,227.64,243.81,273.95,266.35,290.5,255.52,232.32,221.44,231.96,262.65,234.44,249.98,249.34,280.38,253.96,234.62,221.47,235.83,234.12,262.73,270.08,278.07,280.3,251.73,249.7,284.67,308.14,335.68,358.31,330.52,311.44,276.66,262.91,235.51,243.88,259.87,286.09,303.54,334.24,303.01,268.86,280.15,265.4,248.15,240.9,235.08,245.61,246.68,251.61,264.81,256.91,239.5,229.06,235.4,257.39,275.36,287.04,268.42
78,322.8125174654367,305.23,336.17,322.05,341.34,333.86,308.61,274.36,277.46,310.76,301.6,291.6,280.69,282.13,277.98,304.57,304.96,305.5,280.19,313.98,296.48,266.62,278.04,284.72,278.78,273.33,293.28,271.98,294.4,304.81,299.14,296.2,279.17,296.82,297.72,285.18,291.9,326.6,322.07,351.52,340.67,309.5,288.8,283.11,263.48,228.5,259.8,283.87,300.83,277.58,251.01,224.46,248.57,279.04,274.18,247.52,252.03,243.38,241.88,255.34
113,354.9058011317737,353.64,353.86,340.98,357.03,383.26,413.97,435.33,459.87,463.41,486.22,472.47,465.36,452.54,450.26,435.25,467.56,454.46,426.32,428.2,397.2,369.94,350.3,347.8,343.13,364.11,380.87,375.71,364.07,351.22,370.4,339.05,304.95,325.64,324.04,298.2,279.69,309.97,335.14,349.82,348.58,350.0,383.27,415.87,395.94,417.72,396.53,376.48,388.81,382.16,412.37,383.6,384.41,413.71,442.0,417.96,408.62,416.96,393.12,425.88
249,404.4417001642938,383.52,357.23,346.38,321.01,355.89,324.33,320.21,316.86,302.9,307.89,283.39,303.26,291.53,297.92,313.01,340.24,363.75,371.33,363.52,363.74,382.55,408.98,381.24,373.18,392.51,387.73,375.99,369.78,376.98,411.97,411.48,391.07,367.47,335.43,339.55,342.67,322.04,335.71,352.59,335.73,324.82,359.15,350.35,368.61,365.3,385.83,404.66,416.4,441.23,471.98,477.58,459.2,452.1,470.18,480.74,458.19,426.78,439.59,422.17
250,409.8746926170403,427.15,431.54,402.37,380.36,360.71,343.76,348.34,348.62,327.84,297.57,274.57,308.48,306.28,331.99,356.4,357.21,371.68,350.17,363.36,347.43,370.67,341.53,360.65,332.65,359.33,345.62,356.43,355.56,346.2,356.38,387.71,355.6,384.92,392.56,414.07,405.94,403.97,429.79,423.83,426.26,392.67,368.77,378.69,393.88,399.66,374.69,370.87,360.73,360.43,386.35,405.66,376.54,403.86,401.88,418.95,393.75,405.7,387.24,382.93
104,569.5211772761858,540.73,543.82,560.66,578.64,577.83,552.37,573.19,582.7,552.2,549.67,526.85,515.47,481.74,474.76,478.25,486.62,498.06,521.6,501.68,475.11,499.72,475.68,508.91,532.89,532.95,566.65,538.31,524.52,534.2,523.7,553.69,523.28,526.74,533.1,543.79,526.69,517.21,541.27,519.92,542.8,547.19,565.54,580.11,556.5,561.32,587.06,572.78,597.92,579.69,552.59,544.85,576.47,560.18,585.95,594.18,573.47,543.59,559.31,546.12
42,483.162323984101,457.57,443.53,433.64,454.95,439.46,419.21,451.23,416.85,451.7,464.08,487.07,472.69,438.69,455.34,478.73,495.56,470.56,488.3,507.12,518.22,536.85,561.06,569.01,539.86,538.99,509.43,502.96,496.46,466.08,455.5,428.27,449.85,481.19,451.25,483.11,484.69,470.66,441.04,441.08,461.7,476.2,444.72,414.82,408.02,393.69,374.96,359.63,380.87,410.92,404.28,432.71,420.21,418.56,399.38,409.21,442.74,449.98,440.03,450.38
281,389.5017457524876,376.35,360.15,355.35,346.86,356.19,378.11,363.91,343.87,355.55,367.47,395.55,361.67,386.38,387.85,396.34,367.74,363.02,343.93,326.73,327.02,348.89,365.95,372.32,375.08,369.99,403.08,407.29,390.07,371.18,378.97,380.57,346.11,369.21,383.5,394.83,364.64,354.98,385.46,410.84,395.83,371.82,368.26,358.17,370.93,403.58,393.99,363.35,391.18,358.84,390.53,402.05,432.97,411.95,379.8,378.97,375.51,363.71,395.75,418.33
295,518.2381549174014,491.09,482.76,501.98,496.19,529.26,545.76,511.84,538.44,510.5,485.34,501.75,527.3,529.84,515.07,504.66,493.66,481.53,463.53,471.15,499.18,485.68,463.75,487.45,504.37,534.53,511.12,486.22,489.12,497.13,495.74,502.67,480.3,478.87,489.94,485.23,497.79,494.37,482.72,468.97,462.73,429.35,441.15,465.31,455.13,423.35,457.42,440.88,414.74,405.62,422.32,407.89,413.12,407.21,380.45,368.57,384.31,392.15,365.53,341.96
157,571.2546515536442,571.26,573.42,563.15,594.59,591.0,568.56,589.65,574.26,589.59,591.96,565.09,579.11,560.35,546.17,531.91,547.7,528.79,493.85,508.92,485.9,458.21,439.84,431.43,429.74,397.86,430.8,445.92,433.54,420.85,417.25,426.09,401.34,379.57,404.73,387.67,379.28,405.27,416.69,405.61,418.47,384.85,401.34,400.43,422.35,454.17,483.98,512.63,513.48,503.69,501.24,514.53,541.41,520.9,550.17,572.23,598.67,595.65,571.67,543.38
238,559.41850364932,568.98,579.49,581.55,570.57,579.98,548.82,574.01,586.45,563.36,582.12,547.79,528.0,497.56,517.18,535.09,557.04,522.35,522.44,536.78,512.66,523.15,494.04,471.73,470.04,480.79,456.0,433.97,413.28,394.99,375.85,368.51,379.28,374.94,394.26,409.61,383.47,351.89,378.35,348.94,324.32,290.87,299.85,305.62,339.7,366.79,360.55,351.56,337.34,313.01,287.68,261.94,234.93,232.01,234.42,267.52,273.01,307.14,298.21,295.24
17,485.01970155379917,470.83,500.54,533.51,564.61,562.8,588.14,592.72,571.21,589.09,555.79,562.53,543.63,517.07,487.46,501.2,489.99,505.72,475.29,462.36,465.12,485.47,472.78,481.59,508.61,516.72,498.03,464.74,490.65,457.14,483.37,485.4,516.13,537.04,571.9,559.03,577.73,565.75,563.98,572.91,592.16,599.32,591.73,574.81,565.17,581.68,559.41,532.14,521.96,507.07,492.81,474.16,442.11,408.36,442.5,437.44,429.34,441.92,422.2,453.7
164,546.4148285922043,580.83,561.76,576.48,548.23,541.71,566.07,556.41,562.79,563.05,573.27,598.33,565.37,570.33,591.14,577.25,546.78,551.02,539.27,515.12,539.55,541.06,571.39,587.66,585.47,550.72,545.67,524.49,553.25,530.47,515.49,516.67,500.11,479.8,486.74,457.97,427.04,418.1,433.55,437.39,431.99,436.59,427.17,457.7,426.54,438.68,466.07,487.34,465.22,450.93,466.12,437.02,458.85,474.17,490.24,462.26,477.5,490.09,513.25,481.16
33,290.7185387815854,311.9,308.97,307.78,282.12,252.76,269.33,269.08,264.66,280.73,299.32,275.44,283.16,257.63,275.23,286.22,318.18,288.01,257.0,241.75,234.85,232.31,262.87,245.34,236.41,259.04,255.52,274.89,244.47,249.0,222.15,222.33,253.84,229.59,243.74,244.15,240.55,269.99,236.52,254.2,286.67,290.88,321.46,290.12,284.44,267.65,283.81,317.5,300.46,311.25,290.12,294.69,292.17,325.21,332.81,322.28,295.27,270.86,251.63,236.72
24,588.5665775207627,557.93,570.01,563.85,589.62,562.66,576.14,590.47,597.53,588.13,576.43,577.62,592.48,581.74,548.36,578.53,582.47,583.01,559.22,570.34,560.81,571.4,543.18,554.23,589.19,556.4,589.8,573.19,592.01,590.64,580.79,585.82,594.03,575.59,560.02,571.75,587.85,588.79,590.66,574.97,589.06,559.58,562.69,528.09,515.81,506.46,499.19,512.87,505.07,501.48,483.11,474.24,455.15,425.27,432.51,444.28,452.64,450.08,441.67,467.1
215,556.7923830055319,540.8,508.53,532.88,558.35,565.09,570.25,587.9,589.94,595.05,582.13,598.29,599.86,568.96,590.06,577.52,564.8,572.72,541.21,541.66,567.62,547.0,541.85,572.61,564.35,554.44,550.28,551.64,560.88,581.93,570.92,588.3,578.22,562.44,573.5,582.64,576.86,545.15,522.04,507.01,491.79,503.93,470.21,488.11,471.68,458.38,460.33,440.44,467.35,438.33,434.44,458.9,467.01,452.47,446.92,461.39,494.52,522.04,511.01,545.88
119,579.3950689536119,551.77,571.0,552.95,583.3,585.52,587.82,563.16,559.17,567.42,584.45,554.71,587.08,594.74,570.62,588.59,577.65,569.13,554.84,560.51,576.6,565.6,574.27,581.74,584.61,552.23,577.41,568.8,551.17,533.09,531.9,558.98,550.46,567.94,539.43,537.75,572.17,585.58,560.98,561.08,542.43,536.1,555.71,574.7,553.45,583.01,578.82,565.16,565.22,572.44,572.47,567.88,566.77,543.81,565.7,568.24,541.99,560.62,590.89,597.68
7,520.8000366158225,541.07,512.45,512.06,481.09,484.56,480.47,507.61,497.17,470.36,445.37,463.68,471.96,444.04,414.93,429.0,399.09,421.62,436.06,406.75,377.69,411.75,402.95,393.89,415.79,447.1,481.12,498.86,490.2,461.05,480.45,484.54,479.24,507.68,480.46,479.94,445.73,443.54,412.48,385.8,359.03,369.47,386.69,392.53,424.88,416.12,401.12,426.92,407.57,440.0,405.85,438.74,406.76,434.14,436.08,470.59,440.76,444.53,477.38,479.0
90,312.71821489393943,345.39,377.46,359.79,349.15,376.84,409.5,405.54,393.01,394.84,407.98,392.12,408.67,377.29,345.74,337.78,327.52,314.61,313.98,301.43,279.89,266.55,299.79,293.57,289.7,295.06,328.89,310.8,323.49,338.61,346.12,317.32,329.7,299.19,305.92,322.69,302.46,326.37,293.49,317.56,314.78,295.01,269.37,301.1,271.19,250.13,242.65,255.76,258.9,232.7,233.82,231.66,229.96,238.49,257.66,237.88,239.39,241.26,274.94,306.77
46,275.97515682600874,241.52,255.66,252.0,229.0,262.15,264.23,246.16,250.62,264.6,234.94,233.72,259.32,256.5,259.76,255.06,223.13,226.32,238.41,231.17,222.31,251.48,285.23,305.75,330.51,312.45,344.69,323.47,355.07,389.71,404.53,438.21,443.08,426.25,421.84,428.39,398.51,407.07,440.75,419.06,439.54,468.09,499.15,531.36,532.86,566.27,583.32,556.68,555.06,570.34,551.33,561.17,572.83,547.95,552.51,571.52,568.19,534.0,499.63,489.62
73,243.57573844349062,224.17,242.48,252.53,279.29,283.34,315.53,283.94,255.8,223.88,227.2,242.84,257.34,225.53,258.34,282.29,268.05,238.45,229.08,225.6,225.01,240.75,233.71,237.44,271.89,284.79,316.22,291.2,282.95,286.78,257.15,222.44,245.1,258.57,252.33,252.97,248.24,221.52,232.25,228.37,224.27,257.57,264.53,280.54,267.62,260.14,241.72,225.5,227.25,253.69,266.54,269.83,268.09,297.66,267.75,252.39,243.58,265.83,300.31,282.16
93,235.18022984871584,238.18,263.95,278.05,275.2,244.06,245.21,248.24,278.72,288.6,275.42,277.19,246.81,280.11,270.31,268.76,258.63,271.41,282.77,297.84,281.61,268.71,242.48,257.68,225.47,244.19,271.48,298.84,295.27,292.42,262.81,274.76,297.25,279.38,273.87,297.59,323.99,306.01,309.55,288.02,260.15,288.93,311.37,329.57,297.98,322.04,317.7,306.67,309.92,281.31,299.28,305.05,283.11,261.29,239.19,223.09,242.39,268.23,234.45,222.42
76,493.6598351537573,478.77,505.35,473.8,454.98,482.8,465.73,446.18,420.85,445.99,445.99,458.23,439.96,458.02,476.22,463.1,456.85,436.53,469.89,480.08,510.5,496.74,516.47,535.08,548.5,581.09,567.31,541.16,553.18,569.23,572.05,550.07,550.38,537.23,532.15,542.32,559.49,540.75,534.12,517.96,496.86,516.7,545.35,536.27,553.86,581.65,591.79,564.69,596.63,576.08,561.07,530.44,529.47,502.1,484.5,471.69,493.31,519.59,505.76,530.87
286,428.4825888443193,437.87,444.11,473.17,501.05,534.02,545.74,578.77,590.58,567.61,561.41,543.1,508.39,486.55,451.83,467.22,462.01,448.89,467.21,490.48,523.75,533.69,531.0,517.37,497.93,477.83,471.47,505.9,470.96,449.76,427.95,443.15,432.82,429.83,405.23,398.58,370.8,373.11,344.97,365.31,369.97,385.65,379.95,371.65,343.52,345.19,346.21,343.98,360.82,384.1,401.66,376.73,385.27,355.89,369.51,361.24,335.51,360.85,368.83,358.66
60,273.6649464817968,278.63,256.6,241.11,232.27,228.64,256.03,241.03,271.95,304.84,309.83,284.84,276.06,296.9,287.62,258.71,262.68,286.84,307.55,284.81,296.9,277.34,257.61,283.8,266.28,249.71,220.04,250.51,271.92,280.83,298.35,273.99,271.07,260.66,232.22,242.96,273.37,241.17,236.37,230.66,230.87,261.67,259.43,257.07,275.31,251.12,252.22,248.9,258.14,293.11,311.97,304.82,327.75,304.7,271.83,251.14,242.51,249.36,259.59,288.33
77,545.7477562005206,564.27,539.54,552.86,584.01,583.81,565.79,565.44,575.36,570.81,543.51,530.35,551.52,576.82,549.81,581.48,564.08,575.44,585.22,590.64,597.59,574.3,591.41,562.15,576.5,584.91,583.86,561.76,587.87,560.83,529.58,544.8,543.08,567.52,558.39,535.17,558.72,562.14,540.38,555.81,556.59,563.89,561.15,584.16,591.33,587.31,557.34,581.06,582.25,584.02,567.52,591.85,588.15,558.42,551.96,579.01,546.65,578.95,582.02,580.47
63,371.8171381430352,359.69,325.45,348.31,369.38,341.69,347.07,344.55,317.86,351.5,331.53,301.24,307.88,324.6,291.87,302.98,305.24,277.47,254.55,259.5,245.25,276.53,298.84,332.69,315.87,348.75,343.94,333.27,301.79,270.48,283.92,280.98,261.84,269.82,252.52,259.0,249.14,272.82,295.27,293.68,283.24,273.62,295.02,282.99,262.62,233.55,242.66,247.8,272.81,253.3,246.02,269.33,291.98,283.9,281.04,267.27,297.55,270.86,301.22,314.09
234,229.8732716157965,226.86,246.24,224.51,227.49,234.36,223.84,227.45,258.68,225.03,246.16,243.51,259.36,265.57,246.21,271.86,271.3,293.88,287.3,321.23,340.16,372.78,373.78,371.94,389.82,416.44,448.93,436.65,457.56,437.31,440.5,418.09,407.41,437.61,412.84,422.11,428.62,402.07,389.89,394.3,372.4,393.44,426.49,406.52,384.6,381.45,398.79,383.5,349.89,352.78,384.74,377.13,371.54,404.36,417.98,433.32,437.71,470.93,484.15,511.8
229,323.4540638207791,294.11,305.09,315.86,287.51,274.83,309.33,321.82,337.93,317.83,288.34,272.72,255.14,236.56,229.94,245.83,239.96,265.09,242.97,246.93,220.85,237.27,222.92,257.08,277.42,276.73,247.79,257.2,275.31,253.66,259.01,281.0,299.78,320.99,347.54,378.18,371.57,376.38,396.73,410.53,445.22,411.18,401.04,385.71,369.07,349.65,364.29,335.22,352.13,365.67,348.23,330.93,339.95,358.3,384.65,409.3,441.84,447.54,476.15,497.75
111,437.46784952596045,433.4,422.67,439.92,467.47,485.45,473.69,490.8,466.44,440.56,429.75,451.29,433.53,402.96,377.18,402.29,411.65,394.37,398.24,400.17,411.05,392.37,417.88,404.54,418.13,384.26,375.35,364.97,368.01,338.1,358.41,338.65,351.04,372.26,376.59,393.45,404.78,394.67,416.29,401.92,406.9,424.08,415.61,401.8,398.95,421.21,451.3,454.46,465.76,493.99,465.89,447.14,461.76,484.42,509.41,503.47,474.72,470.36,451.51,436.89
231,337.6786144535532,323.48,309.89,336.83,352.5,364.38,385.29,368.29,376.55,373.75,393.52,380.17,390.19,416.94,410.09,379.75,380.87,370.09,382.15,413.72,412.71,410.34,421.16,393.4,376.15,405.48,417.38,383.32,362.64,375.44,393.95,417.74,403.19,433.36,437.07,450.83,457.6,431.19,463.61,437.21,420.05,442.0,450.3,473.97,475.07,466.46,495.99,463.53,488.46,469.62,494.03,468.77,474.39,501.56,499.71,516.97,538.3,554.85,584.62,572.13
180,353.46246746262545,377.07,346.75,377.71,411.75,382.95,368.34,359.41,378.76,385.47,395.58,413.61,386.87,410.19,424.58,429.99,457.27,471.29,450.41,445.49,445.07,413.94,445.76,419.76,433.58,434.02,400.81,430.54,455.17,456.87,437.9,411.41,401.85,384.73,385.2,417.85,423.1,450.4,460.96,459.23,484.05,482.05,507.85,493.26,467.28,492.15,498.27,525.51,556.16,524.91,524.98,516.23,525.04,545.59,530.23,534.21,548.82,523.23,545.21,552.64
144,534.3200964024969,529.07,513.35,496.9,499.43,495.87,491.68,463.06,478.36,458.32,437.11,431.0,411.94,417.81,408.81,405.23,407.83,387.08,362.98,389.61,384.97,378.82,346.31,346.17,349.96,354.08,368.57,345.99,328.65,350.4,381.7,356.22,356.06,336.05,305.26,293.05,268.11,282.81,285.17,260.24,225.89,253.05,231.99,248.49,241.39,253.02,241.47,224.91,228.9,228.26,238.52,255.23,238.7,220.65,238.5,252.41,284.91,291.17,289.15,294.29
239,343.3398904828061,321.14,296.16,327.32,361.4,329.54,305.06,299.71,277.75,268.22,242.26,246.14,236.61,238.16,225.01,237.13,271.26,259.28,285.63,309.65,341.29,361.6,372.77,397.73,368.03,365.43,399.68,418.55,450.9,470.47,496.71,511.17,529.41,531.03,560.73,583.48,591.96,585.93,565.88,533.34,563.84,569.87,554.29,529.73,552.8,576.36,589.12,583.72,567.49,553.02,518.62,541.97,513.09,522.24,522.53,524.4,554.27,521.48,540.62,509.26
75,447.7337290624277,448.69,433.86,399.31,399.05,384.04,400.46,367.14,373.08,403.98,381.19,379.21,350.61,359.41,362.95,356.47,357.97,385.73,364.47,331.05,356.37,361.77,389.12,395.91,417.62,412.7,430.19,459.1,464.15,441.8,425.62,404.53,386.81,373.26,377.12,383.28,378.13,386.21,356.92,328.07,305.1,306.37,286.35,271.18,264.2,286.03,252.0,263.51,275.33,296.24,326.53,292.94,268.7,295.73,292.83,297.35,308.76,321.29,351.51,386.3
297,530.59160288546,512.04,524.41,519.56,492.59,507.59,487.83,465.19,455.27,466.0,447.38,425.24,390.94,388.96,383.97,365.34,334.1,329.15,349.32,364.39,389.65,355.32,387.97,376.87,411.2,393.88,391.89,381.66,371.56,395.52,412.77,447.22,455.17,452.6,423.91,458.67,462.28,476.31,469.78,473.12,504.1,480.75,466.22,441.86,462.32,431.66,402.37,388.26,389.25,382.69,350.83,382.85,414.55,399.1,415.31,420.81,402.43,385.78,385.16,379.51
